"","Actor_Name"
"1"," 비비 안데르손"
"2"," 빅토르 시에스트렘"
"3"," 쉬시위안"
"4"," 왕즈원"
"5"," 웅대림"
"6"," 진곤"
"7"," 진연희"
"8"," 퀸튼 램페이지 잭슨"
"9","50 센트"
"10","A.J. 버클리"
"11","A.J. 쿡"
"12","AJ 보웬"
"13","C. 토마스 하우웰"
"14","F. 머레이 아브라함"
"15","G-드래곤"
"16","J. 카바즈"
"17","J.K. 시몬스"
"18","MC 몽"
"19","T.O.P"
"20","Z. 심슨"
"21","가나하 레이"
"22","가드 엘마레흐"
"23","가렛 헤드룬드"
"24","가민채"
"25","가바 피터슨"
"26","가보리 시디베"
"27","가브리엘 마이어스"
"28","가브리엘 번"
"29","가브리엘라 마리아 슈메이데"
"30","가브리엘라 와일드"
"31","가스미 카호"
"32","가스파르 울리엘"
"33","가야 봄메르 야미니"
"34","가엘 가르시아 베르날"
"35","가와죠에 히로유키"
"36","가원"
"37","가은희"
"38","가이 피어스"
"39","가인"
"40","가잘리 파사파"
"41","가진동"
"42","간 쿄타로"
"43","간지야 시호리"
"44","갈라테 란지"
"45","갈리나 비쉬네프스카야"
"46","갈소원"
"47","갈우"
"48","감우성"
"49","강 숙"
"50","강가 바스넷"
"51","강가미"
"52","강경덕"
"53","강경돈"
"54","강경래"
"55","강경민"
"56","강경섭"
"57","강경우"
"58","강경욱"
"59","강경윤"
"60","강경일"
"61","강경자"
"62","강경준"
"63","강경헌"
"64","강경현"
"65","강경호"
"66","강경훈"
"67","강경희"
"68","강계선"
"69","강관호"
"70","강광원"
"71","강광희"
"72","강구한"
"73","강구현"
"74","강굴"
"75","강귀호"
"76","강규성"
"77","강규영"
"78","강규환"
"79","강기동"
"80","강기둥"
"81","강기묵"
"82","강기영"
"83","강기재"
"84","강기준"
"85","강기화"
"86","강길남"
"87","강길삼"
"88","강나연"
"89","강나영"
"90","강나윤"
"91","강나일"
"92","강나현"
"93","강낙호"
"94","강남규"
"95","강남길"
"96","강남미"
"97","강남석"
"98","강남영"
"99","강남현"
"100","강내균"
"101","강누리"
"102","강다솔"
"103","강다솜"
"104","강다연"
"105","강다영"
"106","강다정"
"107","강다혜"
"108","강대규"
"109","강대연"
"110","강대영"
"111","강대현"
"112","강대희"
"113","강동균"
"114","강동수"
"115","강동우"
"116","강동원"
"117","강동헌"
"118","강동호"
"119","강동훈"
"120","강래연"
"121","강만규"
"122","강명관"
"123","강명찬"
"124","강명희"
"125","강무"
"126","강문"
"127","강문정"
"128","강미경"
"129","강미애"
"130","강미영"
"131","강민규"
"132","강민서"
"133","강민석"
"134","강민선"
"135","강민수"
"136","강민영"
"137","강민우"
"138","강민정"
"139","강민주"
"140","강민지"
"141","강민혁"
"142","강민호"
"143","강민희"
"144","강방식"
"145","강별"
"146","강병욱"
"147","강병원"
"148","강병조"
"149","강병주"
"150","강병진"
"151","강병철"
"152","강병화"
"153","강보람"
"154","강봉석"
"155","강봉성"
"156","강산"
"157","강상문"
