Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
분신사바-저주의 시작	2014-09-30	중국	중국		(유)조이앤컨텐츠그룹	15세이상관람가	스릴러,공포(호러)	안병기	궈징페이,매정
헨젤과 그레텔 2014	2014-09-30	미국	미국		스크린조이	청소년관람불가	공포(호러)	안소니 C. 페란트	스테파니 그레코,브렌트 리딕,디 윌라스 스톤
베리 굿 걸	2014-09-25	미국	미국		(주)영화사 빅	15세이상관람가	멜로/로맨스,드라마	나오미 포너	다코타 패닝,엘리자베스 올슨,보이드 홀브룩
프랭크	2014-09-25	영국	영국,아일랜드		(주)영화사 진진	15세이상관람가	코미디,드라마	레니 에이브러햄슨	마이클 패스벤더,돔놀 글리슨,매기 질렌할,스쿳 맥네이리
지골로 인 뉴욕	2014-09-25	미국	미국		(주)나이너스엔터테인먼트	청소년관람불가	멜로/로맨스,코미디	존 터투로	존 터투로,우디 앨런,샤론 스톤,바네사 파라디,소피아 베르가라,리브 슈라이버
피막	2014-09-25	태국	태국		와이드 릴리즈(주)	12세이상관람가	코미디,공포(호러)	반종 피산다나쿤	마리오 마우러,다비카 후네
더블: 달콤한 악몽	2014-09-25	영국	영국		(주)엣나인필름	15세이상관람가	미스터리,멜로/로맨스	리처드 아요데	제시 아이젠버그,미아 와시코브스카
좀비스쿨	2014-09-25	한국	한국	(주)피터팬픽쳐스	(주)박수엔터테인먼트	청소년관람불가	공포(호러),액션	김석정	백서빈,하은설,민지,손소영,권민준,남동현
타마코 러브 스토리	2014-09-25	일본	일본		(주)머스트씨무비릴리징컴퍼니	전체관람가	애니메이션,드라마,코미디,멜로/로맨스	야마다 나오코	스자키 아야,타마루 아츠시,카네코 유키
프렌즈 : 하얀 거짓말	2014-09-25	프랑스	프랑스		(주)마인스 엔터테인먼트	15세이상관람가	드라마,코미디	기욤 까네	프랑수아 클뤼제,마리옹 꼬띠아르,장 뒤자르댕,브누와 마지멜
대공습	2014-09-25	노르웨이	노르웨이		(주)소나무픽쳐스	15세이상관람가	전쟁,액션,드라마	페테르 내스	플로리안 루카스,루퍼트 그린트
플러스 원	2014-09-25	미국	미국		(주)팝엔터테인먼트	청소년관람불가	스릴러	데니스 일리아디스	라이스 웨이크필드,애슐리 힌쇼
바리새인	2014-09-25	한국	한국	(주)마고필름,(주)이십일세기미디어	(유)영화사 화수분	청소년관람불가	드라마	정영배	예학영,강은혜,조민아,고정일
