Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
21	2008-06-19	731977600	108825	64	3046	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
300	2007-03-14	18683698500	2929561	402	60856	미국	미국	워너브러더스 (주)
1408	2007-08-01	1641191000	252878	153	6993	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
2012	2009-11-12	38933825000	5396890	876	89119	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
2046	2004-10-15	795840500	122913	69	4339	홍콩	홍콩	이십세기폭스필름코퍼레이션
007 북경특급 2	2014-05-01	925000	329	5	20	홍콩	홍콩	(주)케이알씨지
007 스카이폴	2012-10-26	17487213000	2376145	748	51357	미국	미국,영국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
007 카지노 로얄	2006-12-21	4991296000	811405	334	15383	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
007 카지노 로얄	2006-12-21	1275879700	200682	227	5882	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
007 퀀텀 오브 솔러스	2008-11-05	14389307000	2205159	520	70774	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
009 사이보그	2013-05-09	13154500	1656	26	367	일본	일본	씨너스엔터테인먼트(주),㈜T-JOY
10 아이템 오어 레스	2013-06-13	8207000	1676	13	97	미국	미국	(주)액티버스엔터테인먼트
10,000 BC	2008-03-13	7443923500	1134364	362	38983	미국	미국	워너브러더스 (주)
100 피트	2008-07-24	505925500	76985	133	4144	미국	미국	싸이더스 픽쳐스
10분	2014-04-24	24284400	3158	23	502	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
10억	2009-08-06	3107403000	433866	252	12744	한국	한국,호주	싸이더스 픽쳐스
10일간의 원나잇 스탠드	2012-11-29	3180000	1510	1	6	프랑스	프랑스	(주)소나무픽쳐스
127시간	2011-02-17	1337550500	180846	233	10078	미국	미국	이십세기폭스코리아(주)
13 자메티	2007-06-29	5831000	856	2	129	프랑스	프랑스	(주)이모션픽처스
13구역	2006-08-24	1416115000	222568	72	6324	프랑스	프랑스	(주)프라임엔터테인먼트
13구역: 얼티메이텀	2009-04-16	3350741175	501736	246	22442	프랑스	프랑스	㈜케이디미디어
13일의 금요일	2009-03-12	1467520500	208118	138	9648	미국	미국	씨제이엔터테인먼트(주)
1724 기방난동사건	2008-12-03	1897779000	288424	340	19029	한국	한국	싸이더스 픽쳐스
1789, 바스티유의 연인들	2014-09-18	64119000	3723	35	403	한국	한국	유니버설픽쳐스인터내셔널 코리아(유)
18: 우리들의 성장 느와르	2014-08-14	8697000	1121	15	152	한국	한국	어뮤즈
1999, 면회	2013-02-21	23525300	3342	20	538	한국	한국	㈜인디스토리
19-Nineteen	2009-11-12	208491500	32433	64	1874	한국	한국	씨제이엔터테인먼트(주)
19곰 테드	2012-09-27	2034959293	266574	248	10374	미국	미국	유니버설픽쳐스인터내셔널 코리아(유)
1번가의 기적	2007-02-14	15494034100	2535431	340	54562	한국	한국	씨제이엔터테인먼트(주)
1월의 두 얼굴	2014-09-11	33553300	4698	45	540	영국	영국,미국,프랑스	(주)영화사 진진
2 데이즈 인 뉴욕	2013-08-29	47935000	6291	19	416	프랑스	프랑스,벨기에,독일	예지림엔터테인먼트
20 30 40	2004-10-22	7264500	1125	9	181	대만	대만	한국소니픽쳐스릴리징브에나비스타영화㈜
20 30 40	2004-10-22	1864000	425	1	6	대만	대만	한국소니픽쳐스릴리징브에나비스타영화㈜
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	129241000	16446	1	80	한국	한국	
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	4263000	505	1	9	한국	한국	
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉	2010-01-22	3081000	313	1	2	한국	한국	
2010 빅뱅라이브콘서트 BIGSHOW 3D	2011-02-02	127441000	11948	27	619	한국	한국	(주)에스비에스콘텐츠허브
2011 일본 멜로영화 기획전-지금, 만나러 갑니다	2005-03-25	1031872500	165601	120	6467	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
2011 일본 멜로영화 기획전-지금, 만나러 갑니다	2005-03-25	2260000	451	1	11	일본	일본	롯데쇼핑㈜롯데엔터테인먼트
2014 베를린 필하모닉 발트뷔네 콘서트	2014-08-04	7383000	454	2	12	독일	독일	주식회사 아트앤픽쳐
20세기 소년	2008-09-11	1146104500	183069	212	8304	일본	일본	㈜메가박스
20세기 소년-제2장: 마지막 희망	2009-12-17	10248500	1448	11	240	일본	일본	㈜메가박스
21 그램	2004-10-23	420278500	63811	59	3092	미국	미국	(주)영화사한결
21 그램	2004-10-23	2175500	483	1	6	미국	미국	(주)영화사한결
22 블렛	2010-10-14	975507500	128534	237	12241	프랑스	프랑스	㈜케이디미디어
24 시티	2009-01-29	12733000	1809	1	101	중국	중국	위드시네마
26년	2012-11-29	21111878145	2940475	611	50044	한국	한국	(주)인벤트스톤,영화사청어람(주)
26년	2012-11-29	130489000	23177	29	635	한국	한국	(주)인벤트스톤,영화사청어람(주)
27번의 결혼리허설	2008-03-06	1602927500	239739	221	13670	미국	미국	이십세기폭스필름코퍼레이션
2AM SHOW	2010-12-09	45518000	4020	27	320	한국	한국	에스케이텔레콤(주)
2월 29일 - 어느날 갑자기 첫번째 이야기	2006-07-21	354839000	56958	20	962	한국	한국	씨제이엔터테인먼트(주)
3:10 투 유마	2008-02-21	303702500	47061	141	5116	미국	미국	(주)시네마서비스
300: 제국의 부활	2014-03-06	13395159700	1593116	720	54902	미국	미국	워너브러더스 (주)
3-4X10월	2004-08-20	10045000	1759	1	56	일본	일본	(주)스폰지이엔티
3xFTM	2009-06-04	7298000	1127	5	165	한국	한국	시네마달,미디어지따
4 브라더스	2005-10-14	519182000	79811	92	4540	미국	미국	UIP코리아
4.4.4	2007-06-20	1403985500	208645	142	11949	미국	미국,러시아	쇼박스㈜미디어플렉스
40살까지 못해본 사람	2005-11-04	325572000	50339	83	2951	미국	미국	UIP코리아
48미터	2013-07-04	102714000	13418	35	950	한국	한국	씨제이이앤엠(주)
48미터	2013-07-04	2200000	440	1	2	한국	한국	씨제이이앤엠(주)
4개월, 3주... 그리고 2일	2008-02-28	51148500	7887	9	628	프랑스	프랑스	(주)유레카픽쳐스
4교시 추리영역	2009-08-12	459533500	67602	170	4904	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
4요일: 자살을 부르는 요일	2008-12-11	182990000	26962	132	3825	한국	한국	메가픽쳐스제이씨(주)
50/50	2011-11-24	1019768500	135985	159	6860	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
50/50	2011-11-24	9960000	1220	7	58	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
500일의 썸머	2010-01-21	1044749500	137500	188	9259	미국	미국	이십세기폭스코리아(주)
577 프로젝트	2012-08-30	695765500	96079	191	5040	한국	한국	필라멘트픽쳐스
5x2	2006-05-26	21501500	3155	2	166	프랑스	프랑스	(주)스폰지이엔티
5백만불의 사나이	2012-07-19	739789500	104736	331	6393	한국	한국	씨제이이앤엠(주)
5월의 구름	2005-04-28	4528000	741	1	179	터키	터키	(주)문필름코리아
5일의 마중	2014-10-08	180222600	23764	86	1241	중국	중국	찬란
5쿼터	2012-08-23	13905500	1909	19	250	미국	미국	(주)토러스엔터테인먼트
60만번의 트라이	2014-09-18	137033900	19514	76	1438	한국	한국,일본	㈜인디스토리
69 식스티 나인	2005-03-25	95813000	14434	18	818	일본	일본	스폰지
6년째 연애중	2008-02-05	7422697000	1112238	326	27464	한국	한국	(주)스튜디오210
6월의 뱀	2004-12-10	17850000	2718	7	292	일본	일본	(주)마블엔터테인먼트
6월의 일기	2005-12-01	3645962000	593867	169	15245	한국	한국	쇼박스㈜미디어플렉스
7광구	2011-08-04	19391653500	2242510	812	47346	한국	한국	씨제이이앤엠(주)
7급 공무원	2009-04-22	26380710000	4039891	475	90779	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
7번방의 선물	2013-01-23	91431914670	12811206	866	166815	한국	한국	(주)넥스트엔터테인먼트월드(NEW)
7월 32일	2010-04-22	4605500	742	3	99	한국	한국	㈜기억속의매미
80일간의 세계 일주	2004-09-17	3016226000	477424	104	10915	미국	미국	쇼박스㈜미디어플렉스
88분	2008-05-29	1862630500	281781	199	11962	미국	미국,독일,캐나다	(주)프라임엔터테인먼트
8명의 여인들	2004-02-27	117192000	17900	10	427	프랑스	프랑스	무비즈엔터테인먼트㈜
8월의 일요일들	2006-09-29	8928500	1532	3	129	한국	한국	㈜인디스토리
