Number	Movie_Title	Director1	Director2	Director3	Production_Company	Importer	Distributor1	Distributor2	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number	Movie_Rate	Running_Time	Genre1	Genre2	Actor1	Actor2	Actor3
1 	명량	김한민			(주)빅스톤픽쳐스		씨제이이앤엠(주)		2014-07-30	일반영화	장편	한국	1586	1.30587E+11	16928783	31608898110	3965852	15세이상관람가	128	사극	액션	최민식	류승룡	이정현
2 	아바타	제임스 카메론			이십세기폭스필름코퍼레이션	이십세기폭스코리아(주)	이십세기폭스코리아(주)		2009-12-17	일반영화	장편	미국	912	1.28447E+11	13624328	40547523000	3993374	12세이상관람가	162	SF	액션	샘 워싱턴	조 샐다나	시고니 위버
3 	괴물	봉준호			영화사청어람(주)		쇼박스㈜미디어플렉스		2006-07-27	일반영화	장편	한국	647	66716104300	13019740	22404286500	3571254	12세관람가	119	SF	가족	송강호	박해일	배두나
4 	도둑들	최동훈			(주)케이퍼필름		쇼박스㈜미디어플렉스		2012-07-25	일반영화	장편	한국	1072	93665568500	12983330	26089426500	3468906	15세이상관람가	135	액션	범죄	김윤석	김혜수	이정재
5 	7번방의 선물	이환경			㈜화인웍스,(주)씨엘엔터테인먼트		(주)넥스트엔터테인먼트월드(NEW)		2013-01-23	일반영화	장편	한국	787	91431914670	12811206	22800931670	3070053	15세이상관람가	127	코미디	드라마	류승룡	박신혜	갈소원
6 	광해, 왕이 된 남자	추창민			리얼라이즈픽쳐스(주),씨제이이앤엠(주)		씨제이이앤엠(주)		2012-09-13	일반영화	장편	한국	810	88900208769	12319542	25192804727	3355700	15세이상관람가	131	사극	드라마	이병헌	류승룡	한효주
7 	왕의 남자	이준익			㈜씨네월드,(주)이글픽쳐스		(주)시네마서비스		2005-12-29	일반영화	장편	한국	313	66015436400	12302831	23539801300	3660842	15세이상관람가	119	드라마	사극	감우성	이준기	정진영
8 	태극기 휘날리며	강제규			강제규필름		쇼박스㈜미디어플렉스		2004-02-05	일반영화	장편	한국	115	15688614500	11746135	3616977000	3509563	15세관람가	148	전쟁	드라마	장동건	원빈	이은주
9 	해운대	윤제균			(주)제이케이필름		씨제이엔터테인먼트(주)		2009-07-22	일반영화	장편	한국	753	81934638201	11453338	21141403500	2791508	12세이상관람가	129	액션	드라마	설경구	하지원	김인권
10 	변호인	양우석			위더스필름(주)		(주)넥스트엔터테인먼트월드(NEW)		2013-12-18	일반영화	장편	한국	923	82865517300	11373785	22571929000	2978688	15세이상관람가	127	드라마		송강호	김영애	오달수
11 	겨울왕국	크리스 벅	제니퍼 리			소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)		2014-01-16	일반영화	장편	미국	1010	82461504400	10296101	25847243500	3003446	전체관람가	108	애니메이션	뮤지컬	크리스틴 벨 	조시 게드	
12 	설국열차	봉준호			(주)모호필름,오퍼스픽쳐스		씨제이이앤엠(주)		2013-08-01	일반영화	장편	한국	1128	67010087500	9349993	18975866000	2550437	15세이상관람가	125	SF	액션	크리스 에반스	송강호	에드 해리스
13 	관상	한재림			(주)주피터필름,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스		2013-09-11	일반영화	장편	한국	1190	66005451500	9134586	19311179000	2561744	15세이상관람가	140	사극	드라마	송강호	이정재	김혜수
14 	아이언맨 3	쉐인 블랙			파라마운트 픽쳐스	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)		2013-04-25	일반영화	장편	미국	1381	70806191000	9001309	21668935500	2595269	12세이상관람가	130	액션	SF	로버트 다우니 주니어	기네스 팰트로우	
15 	수상한 그녀	황동혁			(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름		씨제이이앤엠(주)		2014-01-22	일반영화	장편	한국	692	62696751249	8656417	15358810049	2042110	15세이상관람가	127	드라마	코미디	심은경	나문희	이진욱
16 	해적: 바다로 간 산적	이석훈			(주)하리마오픽쳐스		롯데쇼핑㈜롯데엔터테인먼트		2014-08-06	일반영화	장편	한국	910	66183966806	8625183	14928658006	1867143	12세이상관람가	130	어드벤처	코미디	김남길	손예진	유해진
17 	국가대표	김용화			케이엠컬쳐㈜		쇼박스㈜미디어플렉스		2009-07-29	일반영화	장편	한국	580	60896633308	8487894	16782332500	2213346	12세이상관람가	137	드라마	코미디	하정우	성동일	김지석
18 	디워	심형래			㈜영구아트		쇼박스㈜미디어플렉스		2007-08-01	일반영화	장편	한국	622	49340084700	8426973	13320274500	2098438	12세이상관람가	90	 SF	액션	브룩스 아만다	베어 제이슨	
19 	과속스캔들	강형철			(주)토일렛픽쳐스,(주)디씨지플러스		롯데쇼핑㈜롯데엔터테인먼트		2008-12-03	일반영화	장편	한국	405	53940101534	8245523	16515292833	2390408	12세이상관람가	108	코미디	드라마	차태현	박보영	왕석현
20 	웰컴 투 동막골	박광현			필름있수다,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스		2005-08-04	일반영화	장편	한국	356	40329355500	8008622	15058450500	2435088	12세관람가	133	전쟁	드라마	신하균	정재영	강혜정
21 	트랜스포머 3	마이클 베이				씨제이이앤엠(주)	씨제이이앤엠(주)		2011-06-29	일반영화	장편	미국	1409	74841350500	7784807	21746223000	2143018	12세이상관람가	152	SF	액션	샤이아 라보프	"조쉬 더하멜 
"	
22 	미션임파서블:고스트프로토콜	브래드 버드			파라마운트 픽쳐스	씨제이이앤엠(주)	씨제이이앤엠(주)		2011-12-15	일반영화	장편	미국	1038	57795846000	7575899	18719283500	2347164	15세이상관람가	132	액션		톰 크루즈	제레미 레너	
