Number	Movie_Title	Director1	Production_Company	Importer	Distributor1	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number
1	명량	김한민	(주)빅스톤픽쳐스		씨제이이앤엠(주)	2014-07-30	일반영화	장편	한국	1586	1.30587E+11	16928783	31608898110	3965852
2	아바타	제임스 카메론	이십세기폭스필름코퍼레이션	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2009-12-17	일반영화	장편	미국	912	1.28447E+11	13624328	40547523000	3993374
3	괴물	봉준호	영화사청어람(주)		쇼박스㈜미디어플렉스	2006-07-27	일반영화	장편	한국	647	66716104300	13019740	22404286500	3571254
4	도둑들	최동훈	(주)케이퍼필름		쇼박스㈜미디어플렉스	2012-07-25	일반영화	장편	한국	1072	93665568500	12983330	26089426500	3468906
5	7번방의 선물	이환경	㈜화인웍스,(주)씨엘엔터테인먼트		(주)넥스트엔터테인먼트월드(NEW)	2013-01-23	일반영화	장편	한국	787	91431914670	12811206	22800931670	3070053
6	광해, 왕이 된 남자	추창민	리얼라이즈픽쳐스(주),씨제이이앤엠(주)		씨제이이앤엠(주)	2012-09-13	일반영화	장편	한국	810	88900208769	12319542	25192804727	3355700
7	왕의 남자	이준익	㈜씨네월드,(주)이글픽쳐스		(주)시네마서비스	2005-12-29	일반영화	장편	한국	313	66015436400	12302831	23539801300	3660842
8	태극기 휘날리며	강제규	강제규필름		쇼박스㈜미디어플렉스	2004-02-05	일반영화	장편	한국	115	15688614500	11746135	3616977000	3509563
9	해운대	윤제균	(주)제이케이필름		씨제이엔터테인먼트(주)	2009-07-22	일반영화	장편	한국	753	81934638201	11453338	21141403500	2791508
10	변호인	양우석	위더스필름(주)		(주)넥스트엔터테인먼트월드(NEW)	2013-12-18	일반영화	장편	한국	923	82865517300	11373785	22571929000	2978688
11	겨울왕국	크리스 벅		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-01-16	일반영화	장편	미국	1010	82461504400	10296101	25847243500	3003446
12	설국열차	봉준호	(주)모호필름,오퍼스픽쳐스		씨제이이앤엠(주)	2013-08-01	일반영화	장편	한국	1128	67010087500	9349993	18975866000	2550437
