"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"1373","명량",2014-07-30,"1 ","명량","장편",16928783,128,1.35697e+11,17607180,1586,188478,"일반영화","2014-07-30","한국","씨제이이앤엠(주)","15세이상관람가",2,"사극","액션","",1,"김한민","","",7,"최민식","류승룡","조진웅"
"2418","아바타",2009-12-17,"2 ","아바타","장편",13624328,162,124896892500,13302619,1631,162502,"일반영화","2009-12-17","미국","이십세기폭스코리아(주)","12세이상관람가",3,"SF","액션","어드벤처",1,"제임스 카메론","","",3,"샘 워싱턴","조 샐다나","시고니 위버"
"254","괴물",2006-07-27,"3 ","괴물","장편",13019740,119,66715713300,10917153,647,113073,"일반영화","2006-07-27","한국","쇼박스㈜미디어플렉스","12세관람가",3,"SF","가족","드라마",1,"봉준호","","",16,"신승리","송강호","박해일"
"827","도둑들",2012-07-25,"4 ","도둑들","장편",12983330,135,93664808500,12983178,1091,155392,"일반영화","2012-07-25","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"액션","범죄","",1,"최동훈","","",18,"김윤석","김혜수","이정재"
"64","7번방의선물",2013-01-23,"5 ","7번방의 선물","장편",12811206,127,91431914670,12811206,866,166815,"일반영화","2013-01-23","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",2,"코미디","드라마","",1,"이환경","","",14,"류승룡","박신혜","갈소원"
"251","광해왕이된남자",2012-09-13,"6 ","광해, 왕이 된 남자","장편",12319542,131,88907726769,12323291,1002,203428,"일반영화","2012-09-13","한국","씨제이이앤엠(주)","15세이상관람가",2,"사극","드라마","",1,"추창민","","",21,"이병헌","류승룡","한효주"
"2851","왕의남자",2005-12-29,"7 ","왕의 남자","장편",12302831,119,66015355400,10513699,572,111173,"일반영화","2005-12-29","한국","(주)시네마서비스","15세이상관람가",1,"드라마","","",1,"이준익","","",15,"감우성","이준기","유해진"
"3640","태극기휘날리며",2004-02-05,"8 ","태극기 휘날리며","장편",11746135,148,15687180500,2544911,115,22375,"일반영화","2004-02-05","한국","쇼박스㈜미디어플렉스","15세관람가",2,"전쟁","드라마","",1,"강제규","","",33,"장동건","원빈","이은주"
"4077","해운대",2009-07-22,"9 ","해운대","장편",11453338,129,81025004000,11324433,764,154277,"일반영화","2009-07-22","한국","씨제이엔터테인먼트(주)","12세이상관람가",3,"액션","드라마","어드벤처",1,"윤제균","","",24,"설경구","하지원","박중훈"
"1681","변호인",2013-12-18,"10 ","변호인","장편",11373785,127,82880730800,11375954,1848,152266,"일반영화","2013-12-18","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",1,"드라마","","",1,"양우석","","",83,"송강호","김영애","오달수"
