"","movie_nm","score","reg_date","contents"
"1","숨바꼭질","8.0","2013.08.19","평점을보니 어찌 이런 영화를 억지스럽고 말도안된다는 스토리라 하는데 글쎄요각본과 연기자의 연기는 최고인거같아요암튼 너무 재미있게 봤습니다 "
"2","숨바꼭질","5.0","2013.08.19","뭐든 주관적인 것이 작용하는 것이고 직접 보고 판단하는것이제일 현명할 듯 돈이 아까운지 아닌지는난 돈이 아까웠음 영화보면서 헛 웃음도 나오고나름 배우들의 연기력에 그나마 조금의 위안 "
"3","철도원","0.0","2013.08.19","뭐가 슬프지심심해 죽는줄 알았네 "
"4","설국열차","0.0","2013.08.19","설국열차의 돈벌이를 위해 더 테러 라이브의 상영시간을 밤 시로 밀어버린 CJ설국열차 만든 모든 이들이 고생했겠으나 관심 밖의 영화가 되어버렸습니다 이러지 맙시다 "
"5","숨바꼭질","10.0","2013.08.19","평점이 좋지않아서 다른영화보려다 시간이 맞지않아서 우연히 보게됬는데 최근에 긴장의 끈을 놓지못하고 정말 재밌게 봤어요아무리 취향에 따라다르다지만 지나친혹평은 좀앞으로 관람평 믿기 어려울듯 "
"6","언어의 정원","10.0","2013.08.19","황금빛 비 스쳐지나가는 비 등등 비를 영상으로 고스란히 그려낸 작품 얼마나 감독이 많은 노력을 거쳐 영화를 만들었는지 그대로 보이는 영화 짧은 시간과 제한된 상영관이란 한계에도 작품 자체가 가지고 있는 완성도는 전혀 손색이 없다 행복을 전해주는 영화 "
"7","숨바꼭질","9.0","2013.08.19","생각치 못할 반전과 두근대는 심장 아직도 잊지못하네요 슬프면서 무섭고 그냥 귀신보다 사람이 더무섭다 그런생각까지 드는 좀 찐한 교훈을 주는 영화예요 "
"8","감기","9.0","2013.08.19","저도 정말 재미있게 봤습니다 다소 비현실적인 부분도 있지만 뭐 영화니까 분당을 주무대로 해서 그런지 더 와닿았음 ㅎㅎ 박민하양 아주 귀엽네요 "
"9","포스 카인드","6.0","2013.08.19","페이크 다큐인지 뭔지 모르겠지만 다만 알래스카 놈 지역에서 실종사건이 많이 발생한 건 엄연한 사실이라네요mbc 서프라이즈에도 나왔었죠 "
"10","명탐정 코난 : 수평선상의 음모","10.0","2013.08.19","코난 팬인데요솔직히 초반에는 쫌 지루해요하지만 뒤로 갈수록 완전 반전의 반전그리고 나름 눈물도 나고넘 즐거웠어요 "
"11","명탐정 코난 : 수평선상의 음모","10.0","2013.08.19","코난 팬인데요솔직히 초반에는 쫌 지루해요하지만 뒤로 갈수록 완전 반전의 반전그리고 나름 눈물도 나고넘 즐거웠어요 "
"12","설국열차","6.0","2013.08.19","많이 아쉬운영화 점 정도 적당하구요야박하게 점 줘도 할 말 없어요이유는 주려는 메세지가 너무 많다보니일상에 찌들어 피로를 풀거나 사고의 전환등을 기대하는데 전혀 못미쳤다고 볼 수 있어요관객몰이는 배급회사의 힘이라고 생각되어져서 씁쓸 "
